item,ans_ind,ans_text,ans_prop,state
"11. the first vowel in ""Florida""",c,"[] as in ""saw"" (""flaw-ri-da"")",1.97,CA
"11. the first vowel in ""Florida""",d,"[] as in ""sore"" (""flore-i-da"")",87.57,CA
"11. the first vowel in ""Florida""",e,other,0.67,CA
12. flourish,a,"[] as in ""bird"" (""flurr-ish"")",61.79,CA
12. flourish,b,"[] as in ""sore"" (""flore-ish"")",26.14,CA
12. flourish,c,"[] as in ""sun"" (""fluh-rish"")",6.43,CA
12. flourish,d,other (including if you use one pronunciation for the verb and a different pronunciation for the noun),5.65,CA
"13. the last vowel in ""handkerchief""",a,"[i:] as in ""see""",22.14,CA
"13. the last vowel in ""handkerchief""",b,"[] as in ""sit""",76.21,CA
"13. the last vowel in ""handkerchief""",c,other,1.65,CA
14. lawyer,a,"with [j] as in ""boy"" (""loyer"")",82.41,CA
14. lawyer,b,"with [] as in ""saw"" (""law-yer"")",13.03,CA
14. lawyer,c,I use both interchangeably,4.41,CA
14. lawyer,d,other,0.15,CA
15. How do you pronounce Mary/merry/marry?,a,all 3 are the same,70.18,CA
15. How do you pronounce Mary/merry/marry?,b,all 3 are different,5.52,CA
15. How do you pronounce Mary/merry/marry?,c,Mary and merry are the same; marry is different,7.74,CA
15. How do you pronounce Mary/merry/marry?,d,merry and marry are the same; Mary is different,1.69,CA
15. How do you pronounce Mary/merry/marry?,e,Mary and marry are the same; merry is different,14.86,CA
16. mayonnaise,a,"with [] as in ""man"" (2 syllables--""man-aze"")",39.25,CA
16. mayonnaise,b,"with [ej] (3 syllables--""may-uh-naze"")",45.93,CA
16. mayonnaise,c,I use both interchangeably,10.09,CA
16. mayonnaise,d,other,4.73,CA
"17. the first vowel in ""miracle""",a,"[i:] as in ""near""",63.97,CA
"17. the first vowel in ""miracle""",b,"[] as in ""knit""",25.5,CA
"17. the first vowel in ""miracle""",c,"[] as in ""net""",1.46,CA
"17. the first vowel in ""miracle""",d,I say something in between [] and [],7.22,CA
"17. the first vowel in ""miracle""",e,other,1.85,CA
18. mischievous vs. mischievious,a,mischievous (3 syllables),39.08,CA
18. mischievous vs. mischievious,b,mischievious (4 syllables),32.65,CA
18. mischievous vs. mischievious,c,"I write ""mischievous"" but say ""mischievious""",6.04,CA
18. mischievous vs. mischievious,d,I use both,21.83,CA
18. mischievous vs. mischievious,e,other,0.39,CA
"19. the final vowel in ""Monday,"" ""Friday,"" etc.",a,"[e:] as in ""say""",91.23,CA
"19. the final vowel in ""Monday,"" ""Friday,"" etc.",b,"[i:] as in ""see""",2.05,CA
"19. the final vowel in ""Monday,"" ""Friday,"" etc.",c,"I use [e:] with the words in isolation, but [i:] in compounds (such as ""Sunday school"")",4.92,CA
"19. the final vowel in ""Monday,"" ""Friday,"" etc.",d,"other (e.g. do you use one vowel in some day names, and another in the other names?)",1.8,CA
"20. the second vowel in ""pajamas""",a,"[] as in ""jam""",56.09,CA
"20. the second vowel in ""pajamas""",b,"[] as in ""father""",41.16,CA
"20. the second vowel in ""pajamas""",c,other,2.75,CA
21. pecan,a,"[pi:kn] with stress on the first syllable (""PEE-can"")",10,CA
21. pecan,b,"[pi:kn] with stress on the second syllable (""pee-CAN"")",6.6,CA
21. pecan,c,"[pi:kn] with stress on the first syllable (""PEE-Kahn"")",14.57,CA
21. pecan,d,"[pi:kn] with stress on the second syllable (""pee-KAHN"")",36.34,CA
21. pecan,e,"[pkn] (""pick Ann"")",1.53,CA
21. pecan,f,"[pkn] (""pick Ahn"")",21.81,CA
21. pecan,g,"I pronounce it differently when it's alone than when it's in a compound like ""pecan pie"" (please state how you pronounce the two variants in the comments box)",6.5,CA
21. pecan,h,other,2.66,CA
22. poem,a,one syllable,30.21,CA
22. poem,b,two syllables,69.79,CA
23. really,a,"[i:] as in ""see"" (""reely"")",46.59,CA
23. really,b,"[] as in ""sit"" (""rilly"")",28.78,CA
23. really,c,"[i] (""ree-l-y"")",8.93,CA
23. really,d,other (including if you use two or more of these interchangeably),15.7,CA
24. realtor (a real estate agent),a,"2 syllables (""reel-ter"")",40.7,CA
24. realtor (a real estate agent),b,"3 syllables (real[]tor, in other words ""reel-uh-ter"")",32,CA
24. realtor (a real estate agent),c,3 syllables (ree-l-ter),22.7,CA
24. realtor (a real estate agent),d,"I don't use this word; I use ""estate agent""",1.29,CA
24. realtor (a real estate agent),e,other,3.31,CA
"25. roof, room, broom, root",a,"[u:] as in ""food""",76.22,CA
"25. roof, room, broom, root",b,"[] as in ""foot""",5.26,CA
"25. roof, room, broom, root",c,these four words do not all have the same vowel (please use the comments box to let us know which is which),18.52,CA
"26. route (as in, ""the route from one place to another"")",a,"rhymes with ""hoot""",26.25,CA
"26. route (as in, ""the route from one place to another"")",b,"rhymes with ""out""",18.03,CA
"26. route (as in, ""the route from one place to another"")",c,I can pronounce it either way interchangeably,33.93,CA
"26. route (as in, ""the route from one place to another"")",d,"I say it like ""hoot"" for the noun and like ""out"" for the verb.",16,CA
"26. route (as in, ""the route from one place to another"")",e,"I say it like ""out"" for the noun and like ""hoot"" for the verb.",3.91,CA
"26. route (as in, ""the route from one place to another"")",f,other,1.88,CA
"27. the first vowel in ""syrup""",a,"[i] ""sear-up""",24.45,CA
"27. the first vowel in ""syrup""",b,"[] ""sih-rup""",19.3,CA
"27. the first vowel in ""syrup""",c,"[] as in ""sir""",54.66,CA
"27. the first vowel in ""syrup""",d,other,1.59,CA
"28. Do you pronounce ""cot"" and ""caught"" the same?",a,different,24.4,CA
"28. Do you pronounce ""cot"" and ""caught"" the same?",b,same,75.6,CA
29. almond,a,"all-mond (first syllable sounds like ""all"")",61.96,CA
29. almond,b,ah-mond (no l),17.82,CA
29. almond,c,"aw-mond (if different from ""ah-mond"")",3.55,CA
29. almond,d,I say something in between l and nothing,13.76,CA
29. almond,e,other,2.9,CA
"30. the ""s"" in ""anniversary""",a,"[s] as in ""sock""",94.54,CA
"30. the ""s"" in ""anniversary""",b,"[] as in ""shock""",5.46,CA
31. asterisk,a,asteri[ks],7.62,CA
31. asterisk,b,asteri[sk],65.85,CA
31. asterisk,c,asteri[k] (with no s in the final cluster),24.97,CA
31. asterisk,d,other,1.55,CA
32. candidate,a,I pronounce the first d,53.44,CA
32. candidate,b,I don't pronounce the first d,20.97,CA
32. candidate,c,I vary freely between pronouncing the first d and not doing so,7.28,CA
32. candidate,d,I only pronounce the first d when I'm speaking slowly/carefully,16.96,CA
32. candidate,e,"Depends whether it refers to a political or generic candidate, as in ""that assignment looks like a good candidate for elimination"" (please state how the two pronunciations differ)",0.8,CA
32. candidate,f,other,0.55,CA
"33. the ""s"" in ""chromosome""",a,[s],37.88,CA
"33. the ""s"" in ""chromosome""",b,[z],40.94,CA
"33. the ""s"" in ""chromosome""",c,both are acceptable to me,20.97,CA
"33. the ""s"" in ""chromosome""",d,other,0.2,CA
34. et cetera,a,pronounced e[ts]etera (4 syllables),66.21,CA
34. et cetera,b,pronounced e[ts]etra (3 syllables),11.2,CA
34. et cetera,c,pronounced eksetera (4 syllables),14.67,CA
34. et cetera,d,pronounced eksetra (3 syllables),5.24,CA
34. et cetera,e,other,2.67,CA
"35. the final consonant in ""garage""",a,"[] as in the middle consonant of ""measure""",51.12,CA
"35. the final consonant in ""garage""",b,"[] as in ""edge""",35.69,CA
"35. the final consonant in ""garage""",c,I use both interchangeably,11.86,CA
"35. the final consonant in ""garage""",d,other,1.32,CA
"36. the ""c"" in ""grocery""",a,"[s] as in ""sock""",52.18,CA
"36. the ""c"" in ""grocery""",b,"[] as in ""shock""",45.03,CA
"36. the ""c"" in ""grocery""",c,other,2.79,CA
"37. huge, humor, humongous, human...",a,I pronounce the h,96.9,CA
"37. huge, humor, humongous, human...",b,I don't pronounce the h,1.27,CA
"37. huge, humor, humongous, human...",c,I can pronounce the h or not,1.73,CA
"37. huge, humor, humongous, human...",d,other,0.1,CA
"38. the ""s"" in ""nursery""",a,"[s] as in ""sock""",88.02,CA
"38. the ""s"" in ""nursery""",b,"[] as in ""shock""",10.45,CA
"38. the ""s"" in ""nursery""",c,other,1.53,CA
"39. the ""s"" in the last name of Elvis Presley",a,[s],78.36,CA
"39. the ""s"" in the last name of Elvis Presley",b,[z],21.64,CA
40. quarter,a,with [kw],63.16,CA
40. quarter,b,"with [k] (""cor-ter"")",28.61,CA
40. quarter,c,I use both interchangeably,7.77,CA
40. quarter,d,other,0.46,CA
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",a,spicket,6.93,CA
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",b,spigot,64.93,CA
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",c,I use both interchangeably,1.43,CA
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",d,"I say ""spicket"" but spell it ""spigot""",4.99,CA
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",e,I use both with different meanings (please explain how in the comments box),0.56,CA
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",f,I don't use either version of this word,20.03,CA
"41. Do you use ""spigot"" or ""spicket"" to refer to a faucet or tap that water comes out of?",g,other,1.12,CA
42. strength,a,"the ""g"" is pronounced as [g]",38.66,CA
42. strength,b,"the ""g"" is pronounced as [k]",41.83,CA
42. strength,c,"the ""g"" is silent",19.51,CA
"43. the final consonant in ""Texas""",a,[s],93.48,CA
"43. the final consonant in ""Texas""",b,[z],4.08,CA
"43. the final consonant in ""Texas""",c,either one,2.29,CA
"43. the final consonant in ""Texas""",d,other,0.15,CA
44. cream cheese,a,CREAM cheese (stress on the first syllable),55.46,CA
44. cream cheese,b,cream CHEESE (stress on the second syllable),22.04,CA
44. cream cheese,c,it sounds right either way,19.49,CA
44. cream cheese,d,other,3.01,CA
45. insurance,a,INsurance (stress on the first syllable),10.43,CA
45. insurance,b,inSURance (stress on the second syllable),81.93,CA
45. insurance,c,I can stress either the first or the second syllable,7.38,CA
45. insurance,d,other,0.25,CA
46. New Haven (the city in Connecticut where Yale University is located),a,NEW Haven,46.32,CA
46. New Haven (the city in Connecticut where Yale University is located),b,New HAVEN,40.95,CA
46. New Haven (the city in Connecticut where Yale University is located),c,I use both interchangeably,10.74,CA
46. New Haven (the city in Connecticut where Yale University is located),d,other,1.99,CA
47. Thanksgiving,a,THANKSgiving,22.23,CA
47. Thanksgiving,b,ThanksGIVing,69.51,CA
47. Thanksgiving,c,I use both interchangeably,7.65,CA
47. Thanksgiving,d,other,0.61,CA
48. umbrella,a,UMbrella,19.17,CA
48. umbrella,b,umBRELLa,80.83,CA
49. I ____ her lifeless body from the pool,a,dragged,80.96,CA
49. I ____ her lifeless body from the pool,b,drug,12.1,CA
49. I ____ her lifeless body from the pool,c,I use both interchangeably,6.38,CA
49. I ____ her lifeless body from the pool,d,other,0.56,CA
50. What word(s) do you use to address a group of two or more people?,a,you all,9.61,CA
50. What word(s) do you use to address a group of two or more people?,b,"yous, youse",0.15,CA
50. What word(s) do you use to address a group of two or more people?,c,you lot,0.31,CA
50. What word(s) do you use to address a group of two or more people?,d,you guys,54.96,CA
50. What word(s) do you use to address a group of two or more people?,e,you 'uns,0.1,CA
50. What word(s) do you use to address a group of two or more people?,g,you,25,CA
50. What word(s) do you use to address a group of two or more people?,h,other,3.07,CA
50. What word(s) do you use to address a group of two or more people?,i,y'all,6.8,CA
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",a,yes,27.39,CA
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",b,no,69.53,CA
"51. Would you say ""Are you coming with?"" as a full sentence, to mean ""Are you coming with us?""",c,other,3.07,CA
"52. Would you say ""where are you at?"" to mean ""where are you?""",a,yes,24.5,CA
"52. Would you say ""where are you at?"" to mean ""where are you?""",b,no,43.57,CA
"52. Would you say ""where are you at?"" to mean ""where are you?""",c,"I can use ""where are you at"" in contexts such as asking someone how s/he is coming along on a project, but not in the general sense of ""where are you physically located in the world at this moment"".",31.93,CA
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",a,yes (please consider adding which combinations of modals you use in the comments box),5.74,CA
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",b,no,93.18,CA
"53. Modals are words like ""can,"" ""could,"" ""might,"" ""ought to,"" and so on. Can you use more than one modal at a time? (e.g., ""I might could do that"" to mean ""I might be able to do that""; or ""I used to could do that"" to mean ""I used to be able to do that"")",c,other,1.08,CA
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",a,"this use of ""anymore"" is acceptable",3.33,CA
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",b,"this use of ""anymore"" is unacceptable",95.39,CA
"54. He used to nap on the couch, but he sprawls out in that new lounge chair anymore",c,not sure,1.28,CA
55. I do exclusively figurative paintings anymore,a,acceptable,5.13,CA
55. I do exclusively figurative paintings anymore,b,unacceptable,92.36,CA
55. I do exclusively figurative paintings anymore,c,not sure,2.51,CA
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,a,acceptable,25.56,CA
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,b,unacceptable,70.38,CA
56. Pantyhose are so expensive anymore that I just try to get a good suntan and forget about it.,c,not sure,4.06,CA
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),a,acceptable,21.62,CA
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),b,unacceptable,70.72,CA
57. Forget the nice clothes anymore (referring to babies eating messily after a certain age),c,not sure,7.67,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",a,tag sale,0.41,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",j,car boot sale,0.05,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",l,patio sale,0.1,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",m,other,5.23,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",b,yard sale,29.09,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",c,garage sale,63.62,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",d,rummage sale,1.08,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",e,thrift sale,0.05,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",h,sidewalk sale,0.21,CA
"58. Which of these terms do you prefer for a sale of unwanted items on your porch, in your yard, etc.?",i,jumble (sale),0.15,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",a,mumblety-peg,8.95,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",j,numblety peg,0.21,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",m,stick-knife,0.98,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",n,stick-frog,0.1,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",o,stretch,0.57,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",p,chicken,2.26,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",q,knifey,0.15,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",r,splits,0.36,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",s,Russian roulette,1.7,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",b,mumbledy-peg,8.64,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",t,"I have never heard of this ""game"" and have no idea what it's called",51.59,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",u,other (state here if you have heard one or more of these terms but never knew what they meant),11.93,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",c,mumbly peg,10.08,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",d,mumbly pegs,0.46,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",e,mumblely peg (with 2 l's),1.85,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",f,mumble peg,0.1,CA
"59. What do you call the game wherein the participants see who can throw a knife closest to the other person (or alternately, get a jackknife to stick into the ground or a piece of wood)?",g,mummety-peg,0.05,CA
60. What do you call the area of grass between the sidewalk and the road?,a,berm,1.83,CA
60. What do you call the area of grass between the sidewalk and the road?,b,parking,2.35,CA
60. What do you call the area of grass between the sidewalk and the road?,c,tree lawn,0.63,CA
60. What do you call the area of grass between the sidewalk and the road?,d,terrace,0.63,CA
60. What do you call the area of grass between the sidewalk and the road?,e,curb strip,12.89,CA
60. What do you call the area of grass between the sidewalk and the road?,f,beltway,0.37,CA
60. What do you call the area of grass between the sidewalk and the road?,g,verge,2.45,CA
60. What do you call the area of grass between the sidewalk and the road?,h,I have no word for this,63.41,CA
60. What do you call the area of grass between the sidewalk and the road?,i,other,15.45,CA
61. What do you call the area of grass that occurs in the middle of some streets?,a,boulevard,2.18,CA
61. What do you call the area of grass that occurs in the middle of some streets?,b,midway,0.36,CA
61. What do you call the area of grass that occurs in the middle of some streets?,c,traffic island,9.41,CA
61. What do you call the area of grass that occurs in the middle of some streets?,d,island,59.44,CA
61. What do you call the area of grass that occurs in the middle of some streets?,e,neutral ground,0.26,CA
61. What do you call the area of grass that occurs in the middle of some streets?,f,I have no word for this,14.4,CA
61. What do you call the area of grass that occurs in the middle of some streets?,g,other,13.94,CA
62. What do you call the long narrow place in the middle of a divided highway?,a,median strip,14.51,CA
62. What do you call the long narrow place in the middle of a divided highway?,j,other,4.01,CA
62. What do you call the long narrow place in the middle of a divided highway?,b,median,72.05,CA
62. What do you call the long narrow place in the middle of a divided highway?,c,boulevard,0.05,CA
62. What do you call the long narrow place in the middle of a divided highway?,d,mall,0.05,CA
62. What do you call the long narrow place in the middle of a divided highway?,e,traffic island,1.24,CA
62. What do you call the long narrow place in the middle of a divided highway?,f,neutral ground,0.1,CA
62. What do you call the long narrow place in the middle of a divided highway?,g,island,4.58,CA
62. What do you call the long narrow place in the middle of a divided highway?,i,I have no word for this,3.4,CA
63. What do you call the drink made with milk and ice cream?,a,milkshake/shake,99.13,CA
63. What do you call the drink made with milk and ice cream?,b,frappe,0.31,CA
63. What do you call the drink made with milk and ice cream?,c,cabinet,0.1,CA
63. What do you call the drink made with milk and ice cream?,d,velvet,0.05,CA
63. What do you call the drink made with milk and ice cream?,e,thick shake,0.1,CA
63. What do you call the drink made with milk and ice cream?,f,other,0.31,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",a,sub,84.03,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",j,I have no word for this,2.48,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",k,other,5.58,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",b,grinder,1.29,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",c,hoagie,2.53,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",d,hero,1.55,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",e,poor boy,1.86,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",g,Italian sandwich,0.41,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",h,baguette,0.16,CA
"64. What do you call the long sandwich that contains cold cuts, lettuce, and so on?",i,sarney,0.1,CA
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,a,lightning bug,8.58,CA
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,b,firefly,63.41,CA
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,c,I use lightning bug and firefly interchangeably,26.16,CA
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,d,peenie wallie,0.05,CA
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,e,I have no word for this,1.44,CA
65. What do you call the insect that flies around in the summer and has a rear section that glows in the dark?,f,other,0.36,CA
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,a,crawfish,36.11,CA
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,b,crayfish,21.35,CA
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,e,crawdad,30.81,CA
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,g,I have no word for this critter,6.94,CA
66. What do you call the miniature lobster that one finds in lakes and streams for example (a crustacean of the family Astacidae)?,h,other,4.78,CA
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,a,daddy long leg(s),96.98,CA
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,k,shepherd spider,0.05,CA
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,l,other,1.02,CA
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,b,daddy big legs,1.54,CA
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,d,father longlegs,0.1,CA
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,e,granddaddy,0.05,CA
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,g,daddy spider,0.05,CA
67. What do you call the kind of spider (or spider-like creature) that has an oval-shaped body and extremely long legs?,h,harvestman,0.2,CA
68. What nicknames do/did you use for your maternal grandmother?,a,grandmother,4.33,CA
68. What nicknames do/did you use for your maternal grandmother?,b,granny,3.34,CA
68. What nicknames do/did you use for your maternal grandmother?,c,grandma,55.22,CA
68. What nicknames do/did you use for your maternal grandmother?,d,nana,5.48,CA
68. What nicknames do/did you use for your maternal grandmother?,e,mimi,0.63,CA
68. What nicknames do/did you use for your maternal grandmother?,f,grammy/grammie/grammi,2.51,CA
68. What nicknames do/did you use for your maternal grandmother?,g,other,28.5,CA
69. What about your paternal grandmother (is there a distinction?),a,grandmother,6.08,CA
69. What about your paternal grandmother (is there a distinction?),b,granny,2.45,CA
69. What about your paternal grandmother (is there a distinction?),c,grandma,52.93,CA
69. What about your paternal grandmother (is there a distinction?),d,gramma,13.27,CA
69. What about your paternal grandmother (is there a distinction?),e,nana,3.89,CA
69. What about your paternal grandmother (is there a distinction?),f,other,21.38,CA
70. What do/did you call your maternal grandfather?,a,gramps,0.9,CA
70. What do/did you call your maternal grandfather?,b,grandpa,25.27,CA
70. What do/did you call your maternal grandfather?,c,grampa,13.48,CA
70. What do/did you call your maternal grandfather?,d,"grandad, granddad",4.25,CA
70. What do/did you call your maternal grandfather?,e,pap,0.53,CA
70. What do/did you call your maternal grandfather?,f,"I spell it ""grandpa"" but pronounce it as ""grampa""",29.03,CA
70. What do/did you call your maternal grandfather?,g,other (including if you use a different term to address him directly than you do when speaking about him to a third party),26.54,CA
71. paternal grandfather?,a,gramps,1.16,CA
71. paternal grandfather?,b,grandpa,37.64,CA
71. paternal grandfather?,c,grampa,28.53,CA
71. paternal grandfather?,d,pap,0.28,CA
71. paternal grandfather?,e,other,32.4,CA
72. What do you call the big clumps of dust that gather under furniture and in corners?,a,dust bunnies,72.65,CA
72. What do you call the big clumps of dust that gather under furniture and in corners?,b,dust kittens,0.36,CA
72. What do you call the big clumps of dust that gather under furniture and in corners?,c,dust mice,1.14,CA
72. What do you call the big clumps of dust that gather under furniture and in corners?,e,dust balls,20.19,CA
72. What do you call the big clumps of dust that gather under furniture and in corners?,f,other,5.66,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",a,sneakers,30.16,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",j,I have no general word for this,1.18,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",k,other,4.83,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",b,shoes,3.08,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",c,gymshoes,2.21,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",d,sand shoes,0.05,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",f,tennis shoes,54.98,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",g,running shoes,2.67,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",h,runners,0.51,CA
"73. What is your *general* term for the rubber-soled shoes worn in gym class, for athletic activities, etc.?",i,trainers,0.31,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,a,pill bug,24.72,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,j,millipede,0.21,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,k,centipede,0.36,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,l,"I know what this creature is, but have no word for it",2.73,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,m,I have no idea what this creature is,1.24,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,n,other,5.68,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,b,doodle bug,1.29,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,c,potato bug,12.49,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,d,roly poly,37.41,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,e,sow bug,13.47,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,g,twiddle bug,0.05,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,h,roll-up bug,0.1,CA
74. What do you call the little gray creature (that looks like an insect but is actually a crustacean) that rolls up into a ball when you touch it?,i,wood louse,0.26,CA
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,a,shopping cart,86.54,CA
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,b,shopping wagon,0.15,CA
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,c,grocery cart,9.61,CA
75. What do you call the wheeled contraption in which you carry groceries at the supermarket?,f,buggy,0.41,CA
